City,Channel Name,Interest,Category,Channel ID,Deep Link
"San Antonio, TX","Triathlon / San Antonio, TX",Triathlon,Sports,5c1640ac-030e-4a1b-abcc-4c00d07b1836,https://places-links.vercel.app/chat/5c1640ac-030e-4a1b-abcc-4c00d07b1836/info
"San Antonio, TX","Track and Field / San Antonio, TX",Track and Field,Sports,29a5e195-3f94-4753-bb63-895ac506f540,https://places-links.vercel.app/chat/29a5e195-3f94-4753-bb63-895ac506f540/info
"San Antonio, TX","Tennis / San Antonio, TX",Tennis,Sports,adae2f6b-053a-45f6-977e-3a5bc94f4ef2,https://places-links.vercel.app/chat/adae2f6b-053a-45f6-977e-3a5bc94f4ef2/info
"San Antonio, TX","Swimming / San Antonio, TX",Swimming,Sports,75edf593-b04e-4e72-8b4f-39bd80b9205d,https://places-links.vercel.app/chat/75edf593-b04e-4e72-8b4f-39bd80b9205d/info
"San Antonio, TX","Surfing / San Antonio, TX",Surfing,Sports,6023c58b-f36d-4810-b2f1-be0983666681,https://places-links.vercel.app/chat/6023c58b-f36d-4810-b2f1-be0983666681/info
"San Antonio, TX","Spikeball / San Antonio, TX",Spikeball,Sports,638542a3-32b0-4cb6-bd07-8c175f412b81,https://places-links.vercel.app/chat/638542a3-32b0-4cb6-bd07-8c175f412b81/info
"San Antonio, TX","Soccer (Football) / San Antonio, TX",Soccer (Football),Sports,bfc333ca-260f-4ac0-9534-4f00dd4e8568,https://places-links.vercel.app/chat/bfc333ca-260f-4ac0-9534-4f00dd4e8568/info
"San Antonio, TX","Snowboarding / San Antonio, TX",Snowboarding,Sports,c360a877-686d-4a59-bf35-6a8334d46d2c,https://places-links.vercel.app/chat/c360a877-686d-4a59-bf35-6a8334d46d2c/info
"San Antonio, TX","Skiing / San Antonio, TX",Skiing,Sports,54eacf30-247d-42d0-b022-c4a3fe289eb5,https://places-links.vercel.app/chat/54eacf30-247d-42d0-b022-c4a3fe289eb5/info
"San Antonio, TX","Skateboarding / San Antonio, TX",Skateboarding,Sports,e22e16ec-4919-4d79-b470-0053ed330e14,https://places-links.vercel.app/chat/e22e16ec-4919-4d79-b470-0053ed330e14/info
"San Antonio, TX","Sailing / San Antonio, TX",Sailing,Sports,efbc4ad6-0f87-43af-94c7-4dbdb1cb7a07,https://places-links.vercel.app/chat/efbc4ad6-0f87-43af-94c7-4dbdb1cb7a07/info
"San Antonio, TX","Rugby / San Antonio, TX",Rugby,Sports,dff7d235-7e28-4ba6-9230-bac30eda6450,https://places-links.vercel.app/chat/dff7d235-7e28-4ba6-9230-bac30eda6450/info
